Starting bacterial monomers: 100
Starting EPS monomers: 1
Starting nutrients: 1
Starting bacteria: 20
Simulation width: 100
Simulation height: 100
Simulation duration: 30

Bacterium:0:Spawn:(65,40)
Bacterium:1:Spawn:(83,42)
Bacterium:2:Spawn:(94,76)
Bacterium:3:Spawn:(83,19)
Bacterium:4:Spawn:(82,72)
Bacterium:5:Spawn:(90,79)
Bacterium:6:Spawn:(74,40)
Bacterium:7:Spawn:(2,7)
Bacterium:8:Spawn:(39,82)
Bacterium:9:Spawn:(27,30)
Bacterium:10:Spawn:(67,57)
Bacterium:11:Spawn:(58,90)
Bacterium:12:Spawn:(86,16)
Bacterium:13:Spawn:(53,41)
Bacterium:14:Spawn:(37,3)
Bacterium:15:Spawn:(5,28)
Bacterium:16:Spawn:(58,76)
Bacterium:17:Spawn:(94,27)
Bacterium:18:Spawn:(78,18)
Bacterium:19:Spawn:(16,28)
Bacterium:14:Run:(31,3):(30,3)
Bacterium:19:Run:(10,28):(9,28)
Bacterium:2:Run:(88,76):(87,76)
Bacterium:13:Run:(47,41):(46,41)
Bacterium:16:Run:(52,76):(51,76)
Bacterium:8:Run:(33,82):(32,82)
Bacterium:1:Run:(77,42):(76,42)
Bacterium:6:Run:(68,40):(67,40)
Bacterium:10:Run:(61,57):(60,57)
Bacterium:7:Run:(0,3):(0,2)
Bacterium:0:Run:(59,40):(58,40)
Bacterium:12:Run:(80,16):(79,16)
Bacterium:4:Run:(76,72):(75,72)
Bacterium:18:Run:(72,18):(71,18)
Bacterium:3:Run:(77,19):(76,19)
Bacterium:17:Run:(88,27):(87,27)
*
Bacterium:10:Run:(60,57):(59,57)
Bacterium:16:Run:(51,76):(50,76)
Bacterium:18:Run:(71,18):(70,18)
Bacterium:15:Run:(0,26):(0,25)
Bacterium:12:Run:(79,16):(78,16)
Bacterium:4:Run:(75,72):(74,72)
Bacterium:7:Run:(0,2):(0,1)
Bacterium:6:Run:(67,40):(66,40)
Bacterium:2:Run:(87,76):(86,76)
Bacterium:9:Run:(20,30):(19,30)
Bacterium:5:Run:(83,79):(82,79)
Bacterium:13:Run:(46,41):(45,41)
Bacterium:19:Run:(9,28):(8,28)
